Size,Instance_Name,Optimal_Cost,Sw_cost,opt2,opt3,APX,Execution_time
small,A-n32-k5.vrp,784.0,1559.125152837149, 914.6650305494419,938.0768549802551,1.1965266007401214,0.007859200006350875
small,A-n33-k5.vrp,661.0,942.076965984789, 806.5812797180439,811.0668500819991,1.2270300303812391,0.004051500000059605
small,A-n33-k6.vrp,742.0,1050.3116319385529, 893.1537890108273,883.2438814397741,1.190355635363577,0.0023132000060286373
small,A-n34-k5.vrp,778.0,1036.4696846075794, 913.617661425618,887.0908549000261,1.1402196078406506,0.0040551999991294
small,A-n36-k5.vrp,799.0,1188.281185043952, 961.299804318496,943.4352846905521,1.180770068448751,0.009654399997089058
small,A-n37-k5.vrp,669.0,1055.8665619951767, 854.8534635897364,861.2394957331081,1.2873535063275159,0.014347699994686991
small,A-n37-k6.vrp,949.0,1476.5709559086126, 1146.9924327193967,1156.8178329712287,1.2189861253648353,0.004587099974742159
small,A-n38-k5.vrp,730.0,1154.7859502581546, 891.5621031669514,926.533086468295,1.269223406120952,0.006075799989048392
small,A-n39-k5.vrp,822.0,1488.8953664088112, 1037.7018387521975,1046.498280733362,1.2731122636658905,0.011597100005019456
small,A-n39-k6.vrp,831.0,1257.1133277776046, 1027.6627512764096,1011.884451765417,1.2176708204156643,0.009652500011725351
small,A-n44-k6.vrp,937.0,1684.6679726010532, 1210.8071949386222,1189.1084858075908,1.2690592164435335,0.006810599996242672
small,A-n45-k6.vrp,944.0,1422.216410970969, 1117.663057048291,1138.6168596880434,1.2061619276356392,0.007581200014101341
small,A-n45-k7.vrp,1146.0,1798.9901916166073, 1372.5545760701627,1368.5455011437289,1.1941932819753307,0.005229700007475913
small,A-n46-k7.vrp,914.0,1356.5128459805178, 1084.6834775798247,1070.476767186062,1.1711999640985362,0.01576569999451749
small,A-n48-k7.vrp,1073.0,1684.073641040533, 1176.5835971527617,1200.0640318794945,1.1184194146127628,0.011123200005386025
small,B-n31-k5.vrp,672.0,943.1394631292221, 838.6886796797105,811.41398668795,1.2074612897142114,0.005505799985257909
small,B-n34-k5.vrp,788.0,1040.7775438645122, 1004.6947493945712,999.185773534365,1.268002250678128,0.006989999994402751
small,B-n35-k5.vrp,955.0,1039.3843015302375, 1004.4484082530803,1017.8470459424739,1.0658084250706532,0.008090699993772432
small,B-n38-k6.vrp,805.0,991.3337419395262, 938.1008621723263,934.0785297741982,1.160345999719501,0.0043320999830029905
small,B-n39-k5.vrp,549.0,813.8933747494733, 617.9522222456452,625.1770090845962,1.1387559364018145,0.009857500001089647
small,B-n41-k6.vrp,829.0,909.9497881920046, 886.0335371544995,891.626242486549,1.075544321455427,0.004725100006908178
small,B-n43-k6.vrp,742.0,871.0981675171854, 830.613271469823,829.0212684327179,1.1172793375104015,0.007327300001634285
small,B-n44-k7.vrp,909.0,1298.1066425072465, 1221.5574094215776,1227.7753402635933,1.350687943084261,0.0035426999966148287
small,B-n45-k5.vrp,751.0,1140.2537531715966, 916.2359586775484,915.8493732217981,1.2195064889770948,0.011820799991255626
small,B-n45-k6.vrp,678.0,986.5391832036198, 870.7407475616016,883.236280705139,1.302708378621149,0.00889710002229549
small,B-n50-k7.vrp,741.0,1004.5415535415909, 797.54817436911,799.9400369097208,1.0795412104044815,0.013286000001244247
small,B-n50-k8.vrp,1312.0,1794.9668848566243, 1578.830663163912,1544.378839465357,1.1771180178851806,0.01782649999950081
small,E-n22-k4.vrp,375.0,454.32309771181497, 441.7964489067805,398.30461542985955,1.0621456411462922,0.0011376000184100121
small,E-n23-k3.vrp,569.0,780.3755224117283, 750.5727799090989,751.5894125111924,1.3208952768210764,0.009047300001839176
small,E-n30-k3.vrp,534.0,900.6176579964331, 583.2850389399086,562.6440890821711,1.0536406162587475,0.019244900002377108
small,E-n33-k4.vrp,835.0,1267.4348531608118, 947.8427211146186,979.7536948909672,1.173357718432296,0.022230600006878376
small,F-n45-k4.vrp,724.0,1184.177183628191, 917.7992691860225,910.5896138584623,1.2577204611304726,0.05393749999348074
small,P-n16-k8.vrp,450.0,596.6741051276423, 596.6741051276423,596.6741051276423,1.325942455839205,0.00011249998351559043
small,P-n19-k2.vrp,212.0,315.6879532463978, 249.6088341771041,243.18215605083688,1.1470856417492306,0.009465200011618435
small,P-n20-k2.vrp,216.0,329.96907227061996, 250.49866574074304,251.9685680019532,1.1665211481571907,0.009041799989063293
small,P-n21-k2.vrp,211.0,387.2677675829533, 254.8601953993836,256.33009766059376,1.2148345860691647,0.012377500010188669
small,P-n22-k2.vrp,216.0,388.06289931284954, 254.86030078060892,257.12522939049,1.190394580511528,0.01379959998303093
small,P-n22-k8.vrp,603.0,708.7198844123649, 689.8491454966089,689.8491454966089,1.1440284336593847,0.00031319999834522605
small,P-n23-k8.vrp,529.0,747.3384397239523, 690.0785546415675,747.3384397239523,1.4127380713118192,0.0001275000104214996
small,P-n40-k5.vrp,458.0,674.6825660864424, 560.167543811472,520.2643031826335,1.1359482602240907,0.008512700005667284
small,P-n45-k5.vrp,510.0,812.0799218091433, 573.0286913725122,583.5049044852135,1.144127263696497,0.01978090000920929
small,P-n50-k10.vrp,696.0,1015.5530949551203, 806.3231728794292,835.6564069125635,1.200655757058281,0.0021963999897707254
small,P-n50-k7.vrp,554.0,798.2818333237883, 635.9679815218628,620.7832002747718,1.1205472929147506,0.012229799991473556
small,P-n50-k8.vrp,631.0,915.8510836797528, 697.3865487790029,722.0654819315952,1.1443193057553014,0.004861900000832975
small,VRPExemple.vrp,None,115.57908950145404, 115.57908950145404,115.57908950145404,None,0.00012650000280700624
